               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091552,            0.027066,            0.015872,             0.29972,                0.23,             0.26289,             0.10572,            0.071789,            0.020003,           0.0077376,              0.0703,              0.0033,              0.0033
                   1,            0.069915,            0.018089,           0.0057111,             0.35206,             0.57248,             0.35122,             0.14827,            0.062334,            0.014303,           0.0036745,            0.040267,           0.0066005,           0.0066005
                   2,            0.063901,            0.014458,           0.0041902,             0.64101,             0.48211,             0.54286,             0.23631,            0.062256,            0.012458,           0.0030508,            0.010201,            0.009868,            0.009868
                   3,            0.056717,            0.012648,           0.0035437,             0.59436,             0.62415,             0.59034,             0.24827,            0.051947,            0.013358,           0.0030666,           0.0098515,           0.0098515,           0.0098515
                   4,            0.049516,            0.011677,           0.0027549,             0.81512,             0.70143,             0.73796,             0.35815,            0.046903,            0.013307,           0.0026688,           0.0098515,           0.0098515,           0.0098515
                   5,            0.045953,             0.01122,           0.0026838,             0.85829,             0.71996,             0.77646,             0.39918,            0.042932,            0.013423,           0.0027298,            0.009802,            0.009802,            0.009802
                   6,            0.043603,            0.010868,           0.0024205,             0.90118,             0.73919,             0.79016,             0.37313,            0.042998,            0.013913,           0.0022253,           0.0097525,           0.0097525,           0.0097525
                   7,            0.042002,            0.010742,           0.0022466,              0.8624,             0.72371,             0.76445,             0.38061,            0.044001,            0.013237,            0.002635,            0.009703,            0.009703,            0.009703
                   8,            0.040507,            0.010529,           0.0020568,             0.88672,             0.76111,              0.8134,             0.41894,            0.038657,            0.013265,           0.0023005,           0.0096535,           0.0096535,           0.0096535
                   9,            0.039537,            0.010232,            0.002032,             0.90568,             0.75108,             0.79137,             0.42455,            0.038921,            0.014102,           0.0024912,            0.009604,            0.009604,            0.009604
                  10,            0.038459,            0.010264,           0.0019667,             0.88411,             0.77065,             0.81102,             0.43842,            0.038229,            0.013119,           0.0020318,           0.0095545,           0.0095545,           0.0095545
                  11,            0.036856,            0.010082,           0.0018305,             0.89274,             0.75189,             0.80745,             0.46493,             0.03633,            0.013798,           0.0021326,            0.009505,            0.009505,            0.009505
                  12,            0.035455,            0.010012,           0.0017943,             0.87837,              0.7637,             0.79518,             0.45471,            0.035428,            0.013917,           0.0021147,           0.0094555,           0.0094555,           0.0094555
                  13,            0.035414,           0.0099587,           0.0018206,             0.88234,             0.75134,             0.79792,              0.4487,            0.037369,            0.014068,           0.0024829,            0.009406,            0.009406,            0.009406
                  14,            0.034702,           0.0097363,           0.0015475,             0.91075,             0.75339,             0.79586,             0.45114,            0.037092,            0.014617,           0.0019583,           0.0093565,           0.0093565,           0.0093565
                  15,             0.03365,           0.0095629,           0.0014053,             0.91262,             0.74662,             0.79615,             0.43593,            0.036745,            0.015518,           0.0022091,            0.009307,            0.009307,            0.009307
                  16,            0.034199,           0.0096396,           0.0015513,              0.9031,             0.74179,             0.80073,             0.43593,            0.037543,            0.014128,           0.0023531,           0.0092575,           0.0092575,           0.0092575
                  17,            0.033765,           0.0093366,            0.001658,             0.91141,             0.77152,             0.81153,             0.47275,             0.03477,            0.014103,           0.0020481,            0.009208,            0.009208,            0.009208
                  18,            0.032533,           0.0093403,           0.0015617,             0.90213,             0.77132,             0.81006,             0.46992,             0.03495,            0.014149,           0.0021407,           0.0091585,           0.0091585,           0.0091585
                  19,            0.032004,           0.0091018,           0.0015739,             0.89723,             0.75841,             0.80043,             0.45999,            0.035368,            0.014313,            0.001814,            0.009109,            0.009109,            0.009109
                  20,            0.032046,           0.0092356,           0.0016286,             0.91849,             0.74959,             0.79357,             0.47205,            0.035721,             0.01591,           0.0024046,           0.0090595,           0.0090595,           0.0090595
                  21,            0.032007,           0.0091856,           0.0015229,             0.91338,             0.76104,              0.7991,             0.46831,            0.034698,            0.014999,           0.0020538,             0.00901,             0.00901,             0.00901
                  22,            0.031133,           0.0092412,           0.0013554,             0.92336,              0.7558,              0.8058,              0.4736,            0.033725,            0.014968,           0.0019486,           0.0089605,           0.0089605,           0.0089605
                  23,            0.031696,           0.0090571,           0.0013494,             0.88451,             0.76593,              0.8003,             0.48199,             0.03351,            0.014755,            0.001934,            0.008911,            0.008911,            0.008911
                  24,            0.031415,             0.00928,           0.0014072,             0.91068,              0.7618,             0.81385,             0.46795,            0.034533,            0.014173,           0.0018712,           0.0088615,           0.0088615,           0.0088615
                  25,            0.030991,           0.0087681,           0.0013941,             0.91913,             0.76449,             0.80266,             0.47952,            0.034131,            0.014661,           0.0018199,            0.008812,            0.008812,            0.008812
                  26,            0.030119,             0.00887,           0.0012762,              0.8968,             0.76296,             0.81229,             0.47314,            0.035051,            0.014982,           0.0023683,           0.0087625,           0.0087625,           0.0087625
                  27,            0.029886,           0.0088425,           0.0012656,             0.89955,             0.76462,             0.80236,             0.46567,            0.036559,            0.015263,           0.0024792,            0.008713,            0.008713,            0.008713
                  28,            0.030153,           0.0087894,           0.0013454,             0.90937,             0.75442,             0.80698,             0.46171,             0.03447,            0.014443,           0.0022705,           0.0086635,           0.0086635,           0.0086635
                  29,            0.029479,           0.0087197,           0.0011887,             0.89414,              0.7695,             0.81458,             0.46775,            0.034994,            0.013944,           0.0019762,            0.008614,            0.008614,            0.008614
                  30,            0.030201,           0.0087348,           0.0014072,             0.91898,             0.74666,             0.79179,             0.45861,            0.035661,            0.015922,           0.0020995,           0.0085645,           0.0085645,           0.0085645
                  31,             0.02918,           0.0087468,           0.0012981,             0.90957,             0.76838,              0.8031,             0.46844,            0.035064,            0.015014,           0.0019742,            0.008515,            0.008515,            0.008515
                  32,             0.02866,           0.0086107,            0.001383,             0.91643,             0.75681,             0.80358,             0.48103,            0.033769,            0.014737,           0.0018595,           0.0084655,           0.0084655,           0.0084655
                  33,            0.028695,           0.0087694,           0.0011419,             0.89586,             0.77163,              0.8028,             0.48011,            0.034353,            0.015413,           0.0020505,            0.008416,            0.008416,            0.008416
                  34,            0.028637,           0.0084999,           0.0012838,             0.91223,             0.75959,             0.78813,             0.46015,             0.03569,            0.015805,           0.0021696,           0.0083665,           0.0083665,           0.0083665
                  35,            0.028657,           0.0085519,           0.0011372,             0.88053,             0.77474,              0.8019,             0.46164,            0.034119,            0.014298,           0.0018686,            0.008317,            0.008317,            0.008317
                  36,            0.028827,           0.0085412,           0.0013952,             0.92729,             0.73121,             0.78118,             0.47525,            0.034933,            0.015894,            0.002163,           0.0082675,           0.0082675,           0.0082675
                  37,             0.02876,           0.0082914,           0.0012765,             0.92778,             0.75914,             0.79477,             0.47244,            0.034507,            0.014598,           0.0018133,            0.008218,            0.008218,            0.008218
                  38,            0.027827,           0.0085545,           0.0011055,             0.92816,             0.75372,             0.80361,             0.47822,            0.034976,            0.015184,           0.0018683,           0.0081685,           0.0081685,           0.0081685
                  39,            0.027735,           0.0083193,           0.0011695,             0.89982,             0.77307,             0.79604,             0.47411,            0.035066,            0.015532,           0.0023316,            0.008119,            0.008119,            0.008119
                  40,            0.028066,           0.0083838,           0.0011073,             0.92083,              0.7539,               0.798,             0.47553,            0.035481,            0.015954,             0.00216,           0.0080695,           0.0080695,           0.0080695
                  41,            0.027974,           0.0082731,           0.0014052,               0.914,              0.7666,             0.80139,             0.47518,            0.034223,            0.015301,           0.0019703,             0.00802,             0.00802,             0.00802
                  42,            0.028146,            0.008411,           0.0013145,             0.90058,             0.76532,             0.79951,             0.47159,            0.034314,            0.015075,           0.0022155,           0.0079705,           0.0079705,           0.0079705
                  43,            0.027383,           0.0085266,           0.0010751,             0.90198,             0.76458,             0.80274,              0.4761,            0.035295,            0.015639,           0.0023434,            0.007921,            0.007921,            0.007921
                  44,            0.027259,           0.0080429,           0.0011639,             0.91463,             0.75853,             0.79163,             0.47049,             0.03521,            0.016119,           0.0020427,           0.0078715,           0.0078715,           0.0078715
                  45,            0.027275,           0.0079543,           0.0012848,             0.90144,             0.76927,             0.80627,             0.48309,            0.033234,            0.015134,           0.0021864,            0.007822,            0.007822,            0.007822
                  46,            0.027444,           0.0080021,           0.0012264,             0.93304,             0.74555,             0.79639,             0.46936,            0.034037,            0.014973,           0.0020822,           0.0077725,           0.0077725,           0.0077725
                  47,            0.027241,           0.0079699,            0.001195,             0.90859,             0.75717,             0.79965,             0.47893,            0.036604,            0.016783,            0.002873,            0.007723,            0.007723,            0.007723
                  48,            0.026583,           0.0078447,           0.0011272,             0.89729,             0.75465,              0.7913,             0.46796,            0.034818,            0.015841,           0.0018222,           0.0076735,           0.0076735,           0.0076735
                  49,            0.026768,           0.0080042,           0.0010837,             0.89912,             0.76462,             0.78964,             0.47728,            0.034814,            0.016557,           0.0024777,            0.007624,            0.007624,            0.007624
                  50,            0.026726,           0.0080246,           0.0012431,             0.91706,             0.75911,             0.79744,             0.48199,            0.034172,            0.015285,           0.0021793,           0.0075745,           0.0075745,           0.0075745
                  51,            0.026773,            0.007954,           0.0010547,             0.90399,             0.76232,             0.79303,             0.47778,            0.034336,            0.016226,           0.0019989,            0.007525,            0.007525,            0.007525
                  52,             0.02643,           0.0080309,           0.0010532,             0.89577,             0.75952,             0.78674,             0.47229,              0.0341,            0.016471,            0.002439,           0.0074755,           0.0074755,           0.0074755
                  53,             0.02612,           0.0079587,           0.0010188,             0.90576,             0.76302,             0.80063,             0.48013,            0.033785,            0.015067,           0.0020228,            0.007426,            0.007426,            0.007426
                  54,            0.025726,           0.0079291,          0.00098406,             0.89399,             0.76169,             0.78983,              0.4772,            0.033516,            0.015619,            0.001864,           0.0073765,           0.0073765,           0.0073765
                  55,            0.026243,           0.0078337,           0.0010826,             0.89735,             0.77089,             0.79258,             0.48417,            0.034311,            0.015922,           0.0022948,            0.007327,            0.007327,            0.007327
                  56,            0.025939,           0.0076253,           0.0012153,              0.9147,             0.75621,             0.80251,              0.4784,            0.034162,            0.015745,           0.0018593,           0.0072775,           0.0072775,           0.0072775
                  57,            0.025787,           0.0077711,           0.0011175,              0.9042,             0.76719,             0.80234,              0.4735,            0.033866,            0.015542,           0.0021245,            0.007228,            0.007228,            0.007228
                  58,            0.025425,           0.0079624,           0.0010668,             0.91894,             0.75363,              0.7985,             0.48071,            0.034291,            0.015734,           0.0022521,           0.0071785,           0.0071785,           0.0071785
                  59,            0.025455,            0.007586,           0.0010006,             0.92114,             0.75094,             0.80102,             0.47841,            0.034855,            0.016148,           0.0020465,            0.007129,            0.007129,            0.007129
                  60,            0.025396,            0.007851,           0.0010059,             0.89787,             0.76793,             0.78969,             0.46866,            0.033708,            0.015647,           0.0020852,           0.0070795,           0.0070795,           0.0070795
                  61,            0.025178,            0.007559,           0.0010418,             0.93041,              0.7576,             0.79804,             0.47766,            0.035523,            0.016476,           0.0024689,             0.00703,             0.00703,             0.00703
                  62,            0.024624,           0.0076989,           0.0010363,             0.89101,             0.76074,             0.78285,              0.4639,            0.034526,            0.015833,           0.0018088,           0.0069805,           0.0069805,           0.0069805
                  63,            0.025856,           0.0078787,           0.0011497,             0.89149,              0.7713,             0.79074,             0.46817,            0.033766,            0.015525,           0.0019631,            0.006931,            0.006931,            0.006931
                  64,            0.025299,           0.0075931,           0.0011543,             0.88822,              0.7709,             0.79539,             0.47339,            0.033996,            0.016189,           0.0020398,           0.0068815,           0.0068815,           0.0068815
                  65,            0.025258,           0.0076527,           0.0010863,             0.91085,             0.74604,             0.79621,             0.46836,            0.033968,            0.016036,           0.0018839,            0.006832,            0.006832,            0.006832
                  66,            0.025065,           0.0076416,           0.0011202,             0.89477,             0.76082,             0.79124,             0.47199,            0.034331,            0.016208,           0.0021473,           0.0067825,           0.0067825,           0.0067825
                  67,            0.024543,           0.0074824,          0.00096026,             0.90376,             0.73511,             0.77639,             0.47202,            0.035301,            0.017042,            0.002215,            0.006733,            0.006733,            0.006733
                  68,            0.024892,           0.0075887,           0.0010657,             0.90901,             0.75085,              0.7949,             0.47347,            0.034105,            0.016044,           0.0021185,           0.0066835,           0.0066835,           0.0066835
                  69,            0.024358,           0.0075135,          0.00096948,             0.91356,             0.75051,             0.79306,             0.47736,            0.034819,            0.016893,           0.0021846,            0.006634,            0.006634,            0.006634
                  70,            0.024301,           0.0075629,          0.00096183,             0.91458,             0.74785,             0.79125,             0.47076,             0.03438,            0.016291,           0.0019969,           0.0065845,           0.0065845,           0.0065845
                  71,            0.024385,           0.0076141,           0.0010802,             0.91446,             0.76677,             0.79507,             0.47017,            0.035214,            0.016224,           0.0021675,            0.006535,            0.006535,            0.006535
                  72,            0.024176,           0.0075779,           0.0010107,             0.90926,             0.74905,              0.7926,             0.47384,            0.034278,            0.016283,           0.0018658,           0.0064855,           0.0064855,           0.0064855
                  73,            0.024163,           0.0076203,          0.00093598,             0.91045,             0.75221,             0.78589,             0.47491,            0.034131,             0.01611,           0.0020463,            0.006436,            0.006436,            0.006436
                  74,             0.02419,           0.0075088,           0.0010872,              0.9036,              0.7591,             0.79019,             0.46882,            0.034349,            0.016497,           0.0021206,           0.0063865,           0.0063865,           0.0063865
                  75,            0.024422,           0.0075588,          0.00095589,             0.89882,             0.77431,              0.7931,             0.47891,             0.03447,            0.016445,           0.0020191,            0.006337,            0.006337,            0.006337
                  76,            0.023925,           0.0074609,          0.00097928,             0.91452,             0.75722,             0.80073,             0.47955,            0.034488,            0.016585,           0.0021825,           0.0062875,           0.0062875,           0.0062875
                  77,            0.023971,           0.0075636,           0.0010182,             0.90646,             0.75872,             0.79159,             0.47606,            0.034829,            0.016104,           0.0020923,            0.006238,            0.006238,            0.006238
                  78,            0.023786,            0.007549,           0.0010251,             0.90582,             0.75538,             0.78335,             0.46189,            0.034884,             0.01672,            0.002298,           0.0061885,           0.0061885,           0.0061885
                  79,            0.024036,           0.0077078,           0.0010462,             0.90793,             0.76388,             0.79772,             0.48341,             0.03411,            0.016763,            0.002673,            0.006139,            0.006139,            0.006139
                  80,            0.024034,           0.0075715,           0.0010134,             0.90649,             0.76152,             0.78861,             0.47021,            0.033903,            0.017607,           0.0021726,           0.0060895,           0.0060895,           0.0060895
                  81,             0.02348,           0.0074923,          0.00091481,             0.91066,             0.75935,             0.79355,             0.47581,            0.033708,            0.016414,           0.0017197,             0.00604,             0.00604,             0.00604
                  82,            0.023269,           0.0072409,          0.00093788,             0.89832,             0.76202,             0.79226,               0.483,            0.035228,            0.016496,           0.0023951,           0.0059905,           0.0059905,           0.0059905
                  83,             0.02337,           0.0073428,          0.00098203,             0.90491,               0.747,             0.78822,             0.47743,            0.034604,            0.016091,           0.0021737,            0.005941,            0.005941,            0.005941
                  84,            0.023559,           0.0073197,           0.0010243,             0.90446,             0.75581,             0.79264,             0.47885,            0.034091,            0.016414,           0.0021828,           0.0058915,           0.0058915,           0.0058915
                  85,            0.023528,           0.0073615,          0.00086792,             0.91674,             0.75411,             0.79781,             0.47224,            0.034906,            0.016721,           0.0022682,            0.005842,            0.005842,            0.005842
                  86,            0.023019,           0.0071885,          0.00089583,             0.90101,             0.76183,             0.78988,             0.47616,            0.034723,            0.016915,           0.0022453,           0.0057925,           0.0057925,           0.0057925
                  87,            0.023178,            0.007438,           0.0011175,             0.91367,             0.75731,             0.79267,             0.46887,            0.035176,            0.016304,           0.0022082,            0.005743,            0.005743,            0.005743
                  88,            0.022679,           0.0070919,          0.00084694,             0.90545,             0.75322,              0.7871,             0.46961,            0.035291,            0.016843,           0.0021608,           0.0056935,           0.0056935,           0.0056935
                  89,            0.022816,           0.0073538,          0.00093602,             0.91455,             0.75131,             0.78238,             0.47359,             0.03474,            0.017152,           0.0022706,            0.005644,            0.005644,            0.005644
                  90,            0.022663,           0.0071915,          0.00091384,              0.9105,             0.74891,             0.78916,             0.47077,             0.03427,            0.016642,           0.0018498,           0.0055945,           0.0055945,           0.0055945
                  91,            0.022453,           0.0071531,          0.00090289,             0.91341,             0.75641,             0.79105,             0.48251,            0.034214,            0.016578,           0.0020574,            0.005545,            0.005545,            0.005545
                  92,            0.022583,           0.0072868,          0.00095387,             0.90525,              0.7506,             0.78818,             0.47791,            0.034152,            0.016876,           0.0023354,           0.0054955,           0.0054955,           0.0054955
                  93,            0.022587,           0.0072689,          0.00082859,             0.90443,             0.76342,             0.79631,             0.48284,            0.033902,            0.016614,           0.0020446,            0.005446,            0.005446,            0.005446
                  94,            0.022702,           0.0070272,          0.00088586,             0.89507,             0.76635,              0.7929,             0.47042,            0.034143,            0.016558,           0.0019615,           0.0053965,           0.0053965,           0.0053965
                  95,             0.02236,           0.0071916,          0.00092602,             0.90461,             0.76482,             0.79587,             0.47714,            0.034407,            0.016428,           0.0019562,            0.005347,            0.005347,            0.005347
